user_input|corrected_input|query_type|action_type|display_entities|filter_entities|business_validation|enhanced_nlp_query_type|enhanced_nlp_action_type
Tell me how to create a contract|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
How to create contarct?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Steps to create contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Can you show me how to make a contract?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's the process for contract creation?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
I need guidance on creating a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Walk me through contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Explain how to set up a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Instructions for making a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Need help understanding contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Create a contract for me|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Can you create contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Please make a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Generate a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
I need you to create a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Set up a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Make me a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Initiate contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Start a new contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Could you draft a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
How do I create a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
What are the steps to make a contract?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Can you explain how to create a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Could you provide contract creation instructions?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
I would like to know the contract creation process|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
How too creat a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Steps for makeing a contrakt|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Creat a contract pls|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Plz make contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Need 2 create cntract|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
How 2 make contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
How create contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Steps contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Make contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Contract how make?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Creation steps contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
For me contract create|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
HOW TO CREATE contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
create...CONTRACT!|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
contract (how to)?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
contractcreation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
contract     make|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
contract; creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
contract@create|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
#createcontract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
contract*creation*help|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
ctrct|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
mk|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
how|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Could you possibly be so kind as to tell me the exact step-by-step process for creating a new contractual agreement in this system?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
I would really appreciate if you could immediately generate for me a complete contract document with all standard terms and conditions included|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
What is the effective date for contarct 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me contract detials for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
When does contrat 456789 expire?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
What's the experation date for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get contarct informaton for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Whats the efective date for 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show contarct 678901 details|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What is efective date of 789012?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get contract info for 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me contarct 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
effective date for 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show 789012 details|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
when does 456789 end|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
234567 expiration|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
345678 info|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
567890 effective date|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
678901 contract details|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
789012 expiry date|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
890123 start date|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
123456 begin date|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
whos the customer for contarct 123456?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
customer name for 234567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what customer for contrat 345678?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
show custmer for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
customer detials for 567890|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
who is custommer for 678901?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
get customer info for contarct 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
customer number for 890123|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show custmer number for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
what custommer number for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
