user_input|corrected_input|query_type|action_type|display_entities|filter_entities|business_validation|enhanced_nlp_query_type|enhanced_nlp_action_type
Tell me how to create a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
How to create contarct?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Steps to create contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Can you show me how to make a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
What's the process for contract creation?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
I need guidance on creating a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Walk me through contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Explain how to set up a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Instructions for making a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Need help understanding contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Create a contract for me|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Can you create contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Please make a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Generate a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
I need you to create a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Set up a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Make me a contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Initiate contract creation|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Start a new contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Could you draft a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
How do I create a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
What are the steps to make a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Can you explain how to create a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Could you provide contract creation instructions?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
I would like to know the contract creation process|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
How too creat a contract?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Steps for makeing a contrakt|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_USER
Creat a contract pls|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
Plz make contract|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
